413	359
403	343
383.5	351
381	377.5
339	376
335	383
317	362
334.5	353.5
333	342
282	325
247	301
219	316
225	270
280	292
290	335
337	328
415	335
432	371
418	374
444	394
251	277
234	271
225	265
212	290
227	300
256	301
250.5	306
243	328
246	337
314	367
315	351
326	355
327	350
328	342.5
336	339
336	334
331	335
371	330
371	333
388.5	330.5
411	327.5
419	344
411	343
394	346
342	342
342	348
325	372
315	374
342	372
345	382
348.5	380.5
351	377
348	369
370	363
371	353
354	374
363	382.5
357	387
351	382
369	388
335	395
381	381
391	375
392	366
395	361
398	362
401	359
405	360
410	355
408	350
415	351
418	347
422	354
418.5	356
405.5	364.5
405	368
409	370
417	364
420	370
424	372
438	368
438.5	373
434	376
438	385
440	392
447	392
448	381
444.5	383
441	385
440.5	381.5
445	380
444	360
140	130
145	118
160	96
142.5	71
150	70
186	145
158	73.5
121	68
157	145
158	138.5
159	135
133	114
137.5	113
144	112
139	117
144.5	115
151	113
151.5	118
150	111
158	118
159	109
164	108.5
163	105
149	99.5
143	102
137	103
131	103
130	100
127	102
125	98
129	96
130	90
124	90
136	96
136	90
142	96
148	96
142	91
147	91
128	71
136.5	76
142	79
147	81
154	86
148.5	74.5
140	70
140	63
137.5	63
138	59
143	63
151	69
153	63
143	60
143	57
143	51.5
160	65
162	59
141	49
143	40
151	44
150	33
164	124
171	125
165.5	139
181	131
176	141
170	140
168	145
166	150
176	145
180	149
183	145
202	131
137.5	462
167	399
376	400
210	390
263	445
284	409
278.5	425
295	382
299	444
362	443
410	408.5
395	520
277	496
235	465
200	466.5
167	462
225	443
400	447
414	422
424	400
411	396
420	401
403	404
376	406
380	404
377	424
374	424
370	423
368	427.5
374	431
365	448
356	450
358	459
354	495
357	513
359	528
347	553
261	537.5
270	514
313	511.5
324	511
333	511
334	497
323	497
312	498
317	451
316	448
315.5	444
316	434
318	412
291.5	415
284	425
281	421
299	434
302	451
305	457
281	458.5
274	448
273.5	444
267	446
270	440
275	422
276	419
270	415
276	405
288	403
293.5	392.5
296	387
303	386
298.5	378
293	376
296	372
276	352
250	350
247	384
262	399
269	397
276	402
282	398.5
282	386.5
273	389
276	361
138.5	378
155	396
163	390
173	364
183	370
238	382
213	412
189	413
210	433
201	434
150	400
135	395
143	407
142	414
140	430
121	432
109	441
138.5	442
167	442
168	435
184	440
194	442
200	442
212	443
220	443
246	444
246	455
252	458
257	460.5
255.5	466
249	464
247	469
254	472
251.5	477
259	478
261	470
255	494
240	495
241	514
236	514
235	496
232	487
235.5	486.5
245	474
225	457.5
225	451
219	451
219	462
228.5	472
213	481
211	487
208.5	496
206	507
206	515
200	514
200	507
200	497
200	484
206	466
194	466
184	463.5
184	475
193.5	475
193	484
184	484
184	496.5
192.5	496.5
192	507
192	514
170	516.5
168	507
167	495.5
101	343
91	355
70	377
46	371
56	424
20	442
74	326
76	302
15	240
28	161
34.5	164.5
30	181
27	206
42	242
30	246
31	254
39	254
50	289
72	288
60	246
95	299
81	297
80	287
67	314
21	330
36	360
76	344
97	339
103	337
104	341
97	345
89	345
81	344.5
81	350
89	350
92.5	351.5
88	353
81.5	353
87	359
84	361
76	355
58.5	370
34	306
38	418.5
61	425
57	429
60	433
85	369
107.5	362
131	366.5
170	342
174	340
232.5	264
202	223
241	210
235	197.5
228	173
214	164
278	196
267	168
90	167
123	177.5
143	153
192	264
145	285
133	255
90	198
21	15
60	68
70	84
27	149
62	143
58	176
58	160
72	163
70	176.5
90	178
115	168
115	177.5
123	168
123	164
123	155
143	164
144	168
149	177
128	178
128	188
164	194
156	177
168	177
156	169
167	168
172	167
167	164
160	164
163	153.5
186	168
269	133
295	112
302	112
316	141
278	143
284	173
257.5	170
239	198
241	198
246	199
246.5	202
240	202
236	201
231	199
232	206.5
239.5	207.5
242	206
235	209.5
237.5	212
246	208
200	194
170	222
59	189
72	189
90	187.5
74	198
60	196
90	211
151	236
160	244
90	222
129	248
142	265
152	255.5
155	258
163	258
171	258
171	252.5
171	247
214	235
244	238
268	237
259	255
188	261
184	253
171	263
171	268
163	268
154	268.5
151	275
148	274
162	277.5
177	281
187	284
155	316
159	292
125	267
107	285
382.5	267
373	250
330	219
400	247
441	442
417	312
332	246
321	275
403	140
420	269
455	335
295.5	238
294	244
316	300
308	257.5
327	255
316	236
314	230
313	223
317	215
318.5	222
320	229
326.5	227.5
325	220
323	213
329	212
332	226
334	210.5
346	209
342	200
356	202
358	195
345	194
348	188
357.5	188
359	159
404	161
403	202
379	202
386	213
373	213
363	212
362	218
354	216.5
348	215
349	222
353	223
371	224
371	218.5
375	219
388.5	218
405	213.5
389	224.5
388	233
353	229.5
334	232
336	239
352	247
353	236
362.5	236
370	236
388	237
395.5	237.5
395	233
408.5	227
430	237
450	268
394	254
387	250
383	250
369	249.5
367.5	249
362	249
350	251
348	255
355	265
367	265
367	257.5
375	258
376	260
381	260
378	266
380	270.5
371	284
356.5	281
338	297
372	307
398	308
392	277
382.5	276
396	270
411	291
424	297
435	319
434	307
430	295
441	309
470	342
468	432
455	361
453	400
425	433
462	437
481	457
462	447
440	449
423	448
435	507.5
