1	67	68	69	71	73	74	75	76	78	0	0	0	0	0	0	0	0	0	0
2	39	40	43	44	70	72	0	0	0	0	0	0	0	0	0	0	0	0	0
3	54	55	65	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	57	60	62	63	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	49	50	51	52	53	56	58	59	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	30	32	47	48	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	33	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	31	34	35	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	26	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	21	22	23	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	28	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	36	37	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	41	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	80	81	82	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	77	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	84	85	86	87	88	89	90	91	92	0	0	0	0	0	0	0	0	0	0
